A1BG	P04217
AAAS	Q9NRG9
AACS	Q86V21
ABCB6	Q9NP58
ABCE1	P61221
ABHD4	Q8TB40
ACACA	Q13085
ACBD6	Q9BR61
ACLY	P53396
ACSL3	O95573
ACTL6A	O96019
ACTR10	Q9NZ32
ACTR6	Q9GZN1
ADAM10	O14672
ADAM9	Q13443
ADCK1	Q86TW2
ADPRS	Q9NX46
ADSL	P30566
AFAP1L1	Q8TED9
AGA	P20933
AGR2	O95994
AGT	P01019
AHSG	P02765
AJUBA	Q96IF1
AKAP7	Q9P0M2
ALCAM	Q13740
ALDH18A1	P54886
ALDOA	P04075
ALDOA	P04075
ALDOC	P09972
ALKBH1	Q13686
ALKBH2	Q6NS38
ALOX5	P09917
ALOX5AP	P20292
AMPD3	Q01432
ANAPC15	P60006
ANAPC5	Q9UJX4
ANAPC7	Q9UJX3
ANGEL1	Q9UNK9
ANKHD1	Q8IWZ3
ANKLE2	Q86XL3
ANKRD27	Q96NW4
ANKRD54	Q6NXT1
ANXA3	P12429
AP1B1	Q10567
AP1G1	O43747
AP3D1	O14617
AP4M1	O00189
AP4S1	Q9Y587
AP5S1	Q9NUS5
APEX1	P27695
APOA2	P02652
ARAP1	Q96P48
ARF4	P18085
ARFGEF3	Q5TH69
ARFIP2	P53365
ARHGAP1	Q07960
ARHGAP18	Q8N392
ARHGEF2	Q92974
ARHGEF5	Q12774
ARHGEF7	Q14155
ARID1A	O14497
ARID2	Q68CP9
ARL5B	Q96KC2
ARL8B	Q9NVJ2
ARMCX3	Q9UH62
ARPP19	P56211
ARSB	P15848
ASAP1	Q9ULH1
ASF1B	Q9NVP2
ASNS	P08243
ATF2	P15336
ATF7IP	Q6VMQ6
ATG101	Q9BSB4
ATG3	Q9NT62
ATG5	Q9H1Y0
ATG9A	Q7Z3C6
ATIC	P31939
ATP1B3	P54709
ATP2A2	P16615
ATP2B1	P20020
ATP2B4	P23634
ATP5F1B	P06576
ATP6AP2	O75787
ATP6V0A1	Q93050
ATP6V0D2	Q8N8Y2
ATP6V1A	P38606
ATP6V1C1	P21283
ATP6V1D	Q9Y5K8
ATP6V1H	Q9UI12
ATP9A	O75110
ATRIP	Q8WXE1
